scenario,mean,std,q025,q500,q975,min,max
A,0.8866955208679835,0.001010754279600295,0.8847444784786657,0.8867051472414859,0.8885516884462272,0.8838080607648372,0.8893160017996716
B,0.5954579779735006,0.003108352016946821,0.5896756620434938,0.5955138712001521,0.6014154497615981,0.5874378585280968,0.6042896596201087
C,0.24267961007259373,0.004559919368705328,0.2342923611701923,0.24262942095836487,0.25145355417870613,0.23064881873550228,0.2558544288733683
