iteration,U_A,U_B,U_C,ranking_preserved
0,0.9075239590265768,0.6000805874186563,0.2573804845771752,True
1,0.8828703894436982,0.5900190271302755,0.23088249279161666,True
2,0.8743555416141862,0.5922042766286274,0.23423542386125779,True
3,0.8272480282161485,0.6023288072906059,0.229688073700255,True
4,0.8704621077009926,0.5492545836697635,0.24521392941564107,True
5,0.8768488879689473,0.6283161783369127,0.24581890128150435,True
6,0.8746575204802678,0.5671927950250168,0.2456197523330459,True
7,0.8803893933486913,0.5461599758921079,0.2116800900118995,True
8,0.8791883674125098,0.5953641703775104,0.24716941781906038,True
9,0.9213156742788372,0.6019514460571084,0.2555206087614084,True
10,0.9190621107467816,0.5870140938601447,0.2296089794106963,True
11,0.8823579802040009,0.5662126285888391,0.24362985574573123,True
12,0.86317778140458,0.6307425165673054,0.24350176485262565,True
13,0.85186888562088,0.5703371345131323,0.24230497244710866,True
14,0.8527963375803242,0.6230573509066626,0.21798969986881866,True
15,0.8841825403639774,0.5995909471260533,0.2313910301169846,True
16,0.885972172608576,0.5757532410617501,0.26473161289799974,True
17,0.9198571826399928,0.6468796776883343,0.23100792647015536,True
18,0.8834587134882825,0.5981414358004247,0.23061738667074108,True
19,0.8852425694780399,0.6269516319644134,0.2384016605524229,True
20,0.8658086574932511,0.570149993451967,0.20455842744074004,True
21,0.8063425235926514,0.6385524939006811,0.23362329332147064,True
22,0.8080665789606574,0.5383680248998632,0.25392211536200904,True
23,0.9184765650313234,0.5898698344984385,0.24025848004756936,True
24,0.8590160454942308,0.6067841446249269,0.2443576865028178,True
25,0.8882254096401193,0.6015860624067082,0.227208054093815,True
26,0.8820069147081528,0.5850854427589112,0.25922443824338093,True
27,0.8388353609685837,0.6366107773060832,0.24830292631449785,True
28,0.9366280646990287,0.5718984212352748,0.2584457113029456,True
29,0.8439941818006672,0.5808682615691323,0.23321857151066666,True
30,0.8526450020229197,0.6143708237673315,0.24092512160353516,True
31,0.8824895713164413,0.60836086849936,0.24410726368519722,True
32,0.8153889165954904,0.5985823015751017,0.23008658440696922,True
33,0.8682848909963682,0.5940169544926795,0.23781445677440954,True
34,0.8226158714553166,0.6032774685627208,0.2274793367547393,True
35,0.8327210515400413,0.6139133892212639,0.22880666007036782,True
