iteration,U_A,U_B,U_C,ranking_preserved
0,0.8979354439027114,0.5973006308837321,0.25003404873784796,True
1,0.8853913220431687,0.5936721331382069,0.2373804575560716,True
2,0.8876254042772089,0.5942911071582251,0.23842757470164763,True
3,0.8563761294729357,0.599174007285979,0.23643256895543557,True
4,0.8797478835210044,0.5720517407265351,0.24409835212859163,True
5,0.8862784283633949,0.6113931976674052,0.24500112246391054,True
6,0.8839250792969193,0.5828783244468978,0.2447251476675787,True
7,0.8862764146442211,0.5704401887892404,0.22724337539929906,True
8,0.884014584699025,0.5958215960126716,0.24521701237777455,True
9,0.9099859188059687,0.5977032575536508,0.24992249498051586,True
10,0.9156119897180132,0.5917780838463003,0.23651604829999584,True
11,0.889621699329067,0.5800656169103484,0.24327940889017918,True
12,0.875807277659252,0.613701563484419,0.2433879934816935,True
13,0.8694022910580514,0.5827952809819776,0.24266623401530144,True
14,0.8720523245568295,0.6091316763787127,0.23047238845028628,True
15,0.897843210118088,0.5969154478922865,0.23741885060562612,True
16,0.8921203996505022,0.585679826845395,0.2539296360944166,True
17,0.9154507991311491,0.6218634173872507,0.237100455897126,True
18,0.8875857190018511,0.5968796953968771,0.23714905486631857,True
19,0.8868773761446085,0.6112280004136637,0.24053759594097013,True
20,0.8790268825053372,0.5825703042954966,0.22400713823523705,True
21,0.8462846033383691,0.6169958697054835,0.23856378739690642,True
22,0.84732962882177,0.567650202193756,0.24862074971134254,True
23,0.912381848415327,0.5928928111303645,0.2418101641939382,True
24,0.8775423872995605,0.6014119876316114,0.24393254328880826,True
25,0.8877980674860404,0.5975054370018928,0.23459152896916718,True
26,0.8913336762279591,0.5906623567884215,0.2510688073494306,True
27,0.8640386457080241,0.6153951208550288,0.24612079905384676,True
28,0.9129688477655621,0.5836268972670398,0.2505554611887897,True
29,0.8657135206754074,0.5885420759636478,0.2380838809342346,True
30,0.8724137482970324,0.6048230632221752,0.24174071422706106,True
31,0.8875058052760422,0.6014685742157988,0.24347506830795046,True
32,0.8515082751932472,0.597458310530669,0.23618197436257174,True
33,0.8776671456094347,0.5941210406701458,0.2399672218039632,True
34,0.8550747519531909,0.5993397333147097,0.2354294434503842,True
35,0.8616029724750331,0.6049695941576723,0.2358970123774789,True
36,0.8633986697765534,0.59187677760609,0.2462412066616565,True
37,0.9030537736590892,0.6137901563020214,0.24076555977174002,True
38,0.8824903700911728,0.5843348850248995,0.24476241162366008,True
39,0.881535275914056,0.5870995862414108,0.24946287270385548,True
40,0.8643335752171211,0.5826719629509322,0.24127560375132467,True
41,0.8804636253555218,0.6209202396321416,0.24468030114601946,True
42,0.883277385918486,0.5891067673663253,0.24722071468131707,True
43,0.870402311186638,0.5862973737340181,0.24397494913390683,True
44,0.8884291040738506,0.6190925388902407,0.23736758855380424,True
45,0.8557886655318261,0.601989177404691,0.25363842831835126,True
46,0.8694783695620552,0.621623854180451,0.24357541162624805,True
47,0.8969596398161137,0.5995091095899228,0.2513056048618029,True
48,0.8576693803613207,0.5957924306715868,0.24611574836586442,True
49,0.8694987828022811,0.5681912236040343,0.24620351814932465,True
50,0.8836610655347256,0.6020158889522873,0.24585283085084314,True
51,0.8730734533129193,0.6021703340714877,0.24091706615734498,True
52,0.8994037266545917,0.6113696773591324,0.24424581896324601,True
53,0.8852150871525895,0.6105871969834423,0.23129001400149923,True
54,0.9272937388966231,0.5979962954329467,0.2477695493296923,True
55,0.8780618445877022,0.5814603852699871,0.2534604438195025,True
56,0.8597746476896507,0.5974127206497719,0.24424294742333974,True
57,0.8739799477345498,0.6054661096376464,0.23688737976849406,True
58,0.9101731804364375,0.5933298412724023,0.23634716159038754,True
59,0.8820240283477538,0.6030804942227126,0.24028752875243986,True
60,0.879519296220802,0.596041135953738,0.2449022572459324,True
61,0.8691519762440443,0.5844155854059172,0.23597020232374366,True
62,0.858698686644336,0.6093764038116152,0.24063079069273363,True
63,0.88479869932492,0.6172099594073455,0.23928397474080162,True
64,0.8750067992265508,0.5789290904362773,0.23677277243222788,True
65,0.8539660080094927,0.5699668275566341,0.24830828468675661,True
66,0.9223704593042605,0.6129407243556256,0.23092534125936495,True
67,0.8727494801477279,0.6124761292717381,0.23912091525981102,True
68,0.8814363278078607,0.5972290942109084,0.24459797058582539,True
69,0.9145315209908182,0.5967723166073289,0.24229606978541252,True
70,0.8650821695553665,0.5999167301551003,0.244531516199816,True
71,0.8524694091619011,0.58579674339188,0.24304179180995678,True
72,0.9034522895898898,0.5920168078558703,0.24205592195172407,True
73,0.8809222473497311,0.602996803552049,0.24114106803292618,True
74,0.8682983499381116,0.6128782445105155,0.24804561993405946,True
75,0.8788023919489718,0.5991432783600648,0.24355017919954244,True
76,0.8784322012929517,0.5927138384762516,0.24788993231016854,True
77,0.8907855822344943,0.5815985190031905,0.24741822989944456,True
78,0.8765568664029191,0.5822375308441909,0.24051442922202002,True
79,0.8524834779894284,0.5879476278580267,0.24121340671066638,True
80,0.8503544298190898,0.5825471765101619,0.2442202610460709,True
81,0.8679786055999761,0.6141478639273652,0.23543576788696058,True
82,0.8765114115659447,0.6069683291872489,0.23563655070998624,True
83,0.8788511791873526,0.5954823679418322,0.2376379480289251,True
84,0.8773941843255353,0.5828456055176989,0.24377186827908753,True
85,0.9025229450558712,0.5819779090819659,0.2418523981646416,True
86,0.8641528696072169,0.5979737276450452,0.23509597378380515,True
87,0.8495353140141242,0.5979533643474289,0.24062988666784532,True
88,0.8668304596686486,0.5967594113750994,0.24284932784524083,True
89,0.8903893672421861,0.5823981996267849,0.23260284984915458,True
90,0.9084483281457008,0.5926349575133376,0.2393976862468565,True
91,0.8819259867351519,0.6073691986618619,0.24067980078366624,True
92,0.8773591755109524,0.5991562811386676,0.2318967972945341,True
93,0.8916710933852098,0.5914791577479266,0.23295389434557967,True
94,0.8538116628051436,0.6056122298514501,0.2529007204899725,True
95,0.9022501808867395,0.5880652662570498,0.23974054716457813,True
96,0.9163793219333332,0.6161857751372695,0.24160341853284376,True
97,0.9170409159977604,0.6012781341105224,0.24634095052351956,True
98,0.9076795991280802,0.604551658328141,0.23291063583835364,True
99,0.9049597162730642,0.612561551864286,0.2529355147780772,True
100,0.8589287367596727,0.6055590209662773,0.24113644770417794,True
101,0.9010503223585573,0.5713292983189246,0.23574759344665944,True
102,0.8560387713946157,0.5875288568176549,0.23824162269964796,True
103,0.9099336771560125,0.6124522218718853,0.2535312024531863,True
104,0.8679914097263568,0.5971930241515347,0.23587261830332748,True
105,0.8629809357430595,0.5917874379843167,0.24106125938429124,True
106,0.8901417939704244,0.5893626161937384,0.24618490836652718,True
107,0.8615014481467698,0.5921781951999391,0.23934525447988558,True
108,0.9086772674461361,0.5933040981516124,0.23941185409705262,True
109,0.861355866397495,0.5975124684026702,0.23784270819679484,True
110,0.8655100710168322,0.5872109464926116,0.23209694863716743,True
111,0.8593143438653914,0.5996691238450487,0.2341128963970773,True
112,0.8972973688598441,0.5978720545743417,0.24111243622677442,True
113,0.9020042118773541,0.5807042761867576,0.2374040388223152,True
114,0.9114685207323039,0.5941674562701714,0.25211410874525914,True
115,0.8688518481350613,0.5918456084082292,0.23739211456766796,True
116,0.8955250798853155,0.6066177727020874,0.23602488379436642,True
117,0.8683461039264364,0.5790119011038756,0.24318068764737966,True
118,0.8668864753839752,0.6212741662930765,0.24069202341017382,True
119,0.9014154659349322,0.5884968720683095,0.24020253957826596,True
120,0.8944013563922383,0.5940919737573681,0.24298982110037604,True
121,0.8941688675190608,0.5829159893397285,0.24543306697799075,True
122,0.8840208822963003,0.5795325643259901,0.24563966216813338,True
123,0.8588281720663158,0.5772029996875143,0.24468503899770627,True
124,0.8720269809427155,0.5834961012102242,0.24618919173798262,True
125,0.8665117556286952,0.5787474638295629,0.23640771231863067,True
126,0.8973829960669277,0.6034554249697595,0.23962805619320451,True
127,0.8700244270752797,0.600837696450616,0.2536736669501368,True
128,0.8514605260092947,0.6040289837918837,0.24121242430503198,True
129,0.863444154598508,0.5922795969374496,0.2489979973942269,True
130,0.9201900400063643,0.5895014287392044,0.25040119856797627,True
131,0.8636930342471333,0.6019996024263143,0.24148087834410337,True
132,0.8836682424528257,0.593316567980845,0.24372074645115208,True
133,0.8484483717066735,0.6032401326395103,0.24153506545072181,True
134,0.8732151804808643,0.5895437341789196,0.23718357890942848,True
135,0.8942514962022488,0.602129928300043,0.23433540462203564,True
136,0.8777843342175751,0.6087584634798004,0.2481169613544889,True
137,0.8844524630645374,0.5896359279776667,0.24305952652457263,True
138,0.847286048806529,0.5880367019716255,0.25013671704740803,True
139,0.8771126954440821,0.5911246650448181,0.24754456083939774,True
140,0.8773312524716208,0.5650104286940523,0.23645654410035802,True
141,0.8950946047985326,0.5826757156879762,0.24440985982549457,True
142,0.8913492987305829,0.6041623545813062,0.23636223575689488,True
143,0.8910025565417847,0.5917336875681776,0.23538286760428662,True
144,0.852079578360577,0.6136017304841885,0.2349091092281757,True
145,0.8449920994382301,0.5925640932268474,0.2343951135432506,True
146,0.8795731814469939,0.5979491122839884,0.24712606873189785,True
147,0.8951009414879345,0.5949223714999061,0.24438201888763386,True
148,0.8928854451526553,0.5984374357342317,0.24890499133473634,True
149,0.9064586018361573,0.6141313151166439,0.23465955248729128,True
150,0.8888679366899,0.5767262972174392,0.24234396196325617,True
151,0.9005584385339473,0.5843888607534014,0.23966700528310003,True
152,0.8797911570782317,0.5902785377239056,0.241403098707814,True
153,0.8898662344389532,0.5807048447075089,0.24638154665319537,True
154,0.8550151328166156,0.5836972554262749,0.25640729462632444,True
155,0.9015819842595078,0.5908321434372494,0.24330163230695853,True
156,0.8608311242441538,0.6098040186260274,0.2375562746751742,True
157,0.86374255415803,0.6099175906682315,0.23669301424110778,True
158,0.9031116598070933,0.6165203302870572,0.23362211241059178,True
159,0.900491792667309,0.6215299440194733,0.2510526517609727,True
160,0.8780349193054882,0.6096211488722149,0.2518751444028332,True
161,0.8819814110833151,0.6192910575506962,0.24282872134393518,True
162,0.8612235530901066,0.6091389711002575,0.23976964915250282,True
163,0.8504270397666769,0.57165839004404,0.24954761864809755,True
164,0.880837338571284,0.5971939344753514,0.24566622898984747,True
165,0.8968682362766442,0.5838793716263753,0.2296017222834639,True
166,0.9057671350351443,0.5823093246708282,0.24054785996775224,True
167,0.8651394168544826,0.6019889057355086,0.23318669673495307,True
168,0.8673464340751085,0.5961330177989135,0.23614079843124317,True
169,0.8532770377753671,0.6189646094151179,0.24089372160891248,True
170,0.8411729372225357,0.5829655086222619,0.23869714579275425,True
171,0.889404560396299,0.5942560916892791,0.24411728409066394,True
172,0.850790944978723,0.6034679095095031,0.2333160556173425,True
173,0.8954887725089752,0.6036977102274229,0.24447897957466475,True
174,0.8718266531496985,0.5916193904251348,0.24691860197332854,True
175,0.879395759492989,0.5966093244012831,0.2399003160528519,True
176,0.8858966424762309,0.6056650399194873,0.23799809030140634,True
177,0.8959144179119608,0.6098814620875002,0.23703505922638712,True
178,0.8795490423727522,0.5867695567172959,0.23821009137330287,True
179,0.8688551089926739,0.5829965968766033,0.24824282190130906,True
180,0.9055943164394771,0.5916478714207865,0.2542590065752619,True
181,0.9025911895918808,0.5883640870431056,0.2304726430664043,True
182,0.9083666699416288,0.5807245473527363,0.2448663287547978,True
183,0.8866389747216661,0.5765400734093049,0.2324464787388303,True
184,0.8638156722855593,0.6024428559178931,0.24847279711950368,True
185,0.8867348272015526,0.599320611986855,0.2428358430724032,True
186,0.8801254040298696,0.576617392511723,0.24720685239796583,True
187,0.8909803926834574,0.5826888394324164,0.24111202776048096,True
188,0.9029187339413449,0.5934074830533147,0.24568841089918958,True
189,0.9034328015286449,0.5858631826614745,0.24293355093804578,True
190,0.8914177132542007,0.6065478487006779,0.23608946579134302,True
191,0.8544445508200857,0.5799231338225297,0.25332890917789674,True
192,0.8975694630855667,0.6050781329991375,0.2475216649058557,True
193,0.8976581205043521,0.5941473652710347,0.24732892035948548,True
194,0.8750644874734339,0.5980751203778087,0.25354078684494996,True
195,0.9179169791805635,0.5989415480514041,0.24009627384453355,True
196,0.9049199332204193,0.5809215425423591,0.24200891152058668,True
197,0.8955344332310022,0.6006398249061593,0.24335176610326614,True
198,0.8929848503528977,0.6016190622754963,0.24655552354313232,True
199,0.8984684823807797,0.5940812403071017,0.23817007888958952,True
200,0.875387565334627,0.5799576244820204,0.23569896298429188,True
201,0.8955820220024555,0.6038001234868221,0.24040115159144132,True
202,0.8617263217341155,0.580105047230776,0.2512942519717105,True
203,0.8754677797543138,0.5872377647254989,0.23787251354016226,True
204,0.8855000268493969,0.5938803928176708,0.23622904667030675,True
205,0.8682762254148548,0.5909586275119368,0.24578271269849625,True
206,0.8410353857525085,0.6101414141196231,0.23675584125256047,True
207,0.8836278619517138,0.5986941364367206,0.2458377886468207,True
208,0.8760990960053749,0.5977294811884738,0.24401154903281214,True
209,0.8621182221371559,0.5980743628504912,0.24416133637074786,True
210,0.9076208148107712,0.5900152074540519,0.236310222497289,True
211,0.8869974242730264,0.6253458053425307,0.23925768000608968,True
212,0.9093676376217401,0.5868029071154117,0.2375885963196676,True
213,0.9044208884802316,0.6060157685246803,0.24761048499358534,True
214,0.8642678583665991,0.5875354666089786,0.24460523851370286,True
215,0.9013656281467405,0.605530812523358,0.2399563325204102,True
216,0.8894308331675924,0.6081387310629912,0.23833067523094736,True
217,0.895960060542238,0.5921825736127772,0.23633585049721784,True
218,0.853458824083448,0.5998909230504219,0.24199862257314908,True
219,0.8471798422881579,0.5956869265741374,0.2513726674259754,True
220,0.8808981937462901,0.5899526876376897,0.24115036756207514,True
221,0.9006530063846282,0.5975925874769891,0.24316086020295635,True
222,0.8833043788601044,0.6077166119624651,0.23818785004825524,True
223,0.9020223270499781,0.6099472177331704,0.2470123800343909,True
224,0.8810410713294512,0.5875987815118511,0.23650023655688446,True
225,0.8890955212508531,0.5967548305582382,0.23933035520749518,True
226,0.8855131337887863,0.5838782501390225,0.25021115364542434,True
227,0.8958247520316283,0.6077210213911347,0.23059029721411783,True
228,0.896379157131901,0.6039831770714745,0.24769825860215236,True
229,0.9079756523097174,0.5964750921578499,0.23992886514542505,True
230,0.8686849099871057,0.5896447119317467,0.24571444766991035,True
231,0.8852914018835109,0.6116553789831604,0.24540616914568622,True
232,0.9145455628957238,0.591304857568921,0.23311604766354924,True
233,0.8849011030238824,0.6102283830273547,0.25353649134876877,True
234,0.8552848325623241,0.6004569092920815,0.2573333850780596,True
235,0.8887495581804807,0.6114707967197057,0.23799033293798483,True
236,0.8557565103837996,0.6095173871816674,0.24939206502195685,True
237,0.8611075635772494,0.605824048537963,0.25159302756321367,True
238,0.8896377050133639,0.6086522407371369,0.24066835133459152,True
239,0.8733126616351105,0.5912155126527323,0.23614582148243587,True
240,0.8788111895635007,0.598999474007801,0.23785823120448332,True
241,0.8825054778569841,0.601281488399463,0.23555527823834355,True
242,0.8832778052998363,0.6016618953630863,0.23994684162140653,True
243,0.8844661709648982,0.6012079575692088,0.2440794402435154,True
244,0.9113961285190407,0.5807323948559522,0.24820194283286512,True
245,0.8813176690017845,0.5971372516165363,0.23949450991518398,True
246,0.8792953960281757,0.5969916137051131,0.24470618599718175,True
247,0.9040730130955867,0.5830489028037892,0.24084756224828283,True
248,0.8449591674030138,0.595090803313483,0.24280733797769183,True
249,0.8594126873917021,0.5964494553544266,0.24618620275947017,True
250,0.8970181865390363,0.589087021156413,0.24262765290454738,True
251,0.8990159476903269,0.5988863392170349,0.24073251565258202,True
252,0.8842077048289692,0.5921356678891059,0.23801768397111464,True
253,0.8972930104209574,0.6007087581972466,0.24865059286470945,True
254,0.8784348720949691,0.5968268434051069,0.2384253484949967,True
255,0.8873960270333077,0.5801506977078931,0.23682656137954083,True
256,0.9020696173231175,0.6175517257566465,0.24237380150668097,True
257,0.8741920592790937,0.6191418093638115,0.2566686050313181,True
258,0.906689175840659,0.5903247737956469,0.23460645298031324,True
259,0.8826105810711841,0.5802245471073783,0.24613485014590814,True
260,0.8853272170754671,0.6042996373008959,0.24197009489534005,True
261,0.8904535963720144,0.6089477195173111,0.24512868321596004,True
262,0.9104952421128315,0.5837450192814077,0.249043627882429,True
263,0.8959501457887531,0.5788900878762581,0.2528743147857037,True
264,0.8881536170141011,0.5998792880536501,0.23650925447070717,True
265,0.9024780725617381,0.6127571698517862,0.2412736003090776,True
266,0.8669256829943834,0.6001546951084464,0.23813279833822482,True
267,0.8998920393077001,0.606410574554112,0.23169494998050918,True
268,0.8642389718864958,0.6116240030054778,0.2520661183245094,True
269,0.853081329306189,0.5716319569238849,0.24049563477867975,True
270,0.918877152875665,0.6105577761392964,0.23899099019501802,True
271,0.8955664289259221,0.5824456796417178,0.2316420570722295,True
272,0.8555217720999116,0.58350214961093,0.24217557871364054,True
273,0.8754113450524531,0.5916819201389075,0.24391648660849488,True
274,0.8650768283714599,0.5866764555925252,0.23336630829377253,True
275,0.8627590747747323,0.5949558104702766,0.2389784198606713,True
276,0.8807671615106937,0.5962652175507813,0.24159351567830456,True
277,0.879400876096371,0.5949024911818701,0.24450041662925115,True
278,0.8909030832524921,0.5714294697670742,0.2492143977556603,True
279,0.8732596671778587,0.5914359378306997,0.24751532836955875,True
280,0.889351897383851,0.5869308003245187,0.2463501488078802,True
281,0.8797875719704766,0.5735420810077676,0.2491802036285823,True
282,0.8567906335082129,0.5922869898312032,0.2466801075742463,True
283,0.8666826852180153,0.5878028503516869,0.2435260039780198,True
284,0.8902001598143531,0.5975144262348006,0.23948713294211718,True
285,0.8823664045712518,0.6203206700097794,0.24195513151657794,True
286,0.9096083080652526,0.5939102553310325,0.2389733446155651,True
287,0.897657589778012,0.5815431833560429,0.24438280967800913,True
288,0.8785572365304133,0.6135017826866518,0.2308329098315466,True
289,0.877086354096272,0.5714259543950966,0.24364046125098465,True
290,0.8736760004236939,0.58817321979116,0.2518779828356553,True
291,0.905518543761483,0.6045646044309321,0.2326808966379879,True
292,0.8854726722964024,0.5757764861428426,0.24795299830804768,True
293,0.8659796409186986,0.6156359948232063,0.24680737927174878,True
294,0.8777827357676447,0.6153795434008796,0.24135371496039587,True
295,0.8982418764273719,0.583700732342332,0.25252053985837036,True
296,0.9119177852133213,0.5993198543225513,0.23863953092986906,True
297,0.8552030941380624,0.5807138191887815,0.250392671889601,True
298,0.8967045657236486,0.6272043631515163,0.23874856284695806,True
299,0.8900322966722507,0.5808853579867086,0.24865615186687756,True
300,0.8583147212282805,0.5822185235912625,0.2471043470283418,True
